sl_nb_chambre,sl_taille,sl_prix,sl_salle_d_eau,sl_salle_de_bain,sl_toilette,sl_etage,sl_hauteur,sl_parking,sl_terrasse,sl_nb_piece,sl_style_enc,sl_localisation_enc,sl_cuisine_enc,sl_exposition_enc,sl_vue_enc,sl_ascenseur_enc,sl_neuf_enc,sl_cave_enc,sl_annee_enc,sl_balcon_enc,sl_parquet_enc,sl_gardien_enc
1.0,36.0,442000.0,1.0,1.0,1.0,5.0,6.0,2.142857142857143,1.0,2.0,0,0,0,0,0,1,0,1,1,0,0,0
1.5,18.0,282000.0,1.0,1.0,1.0,1.0,8.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,85.0,1150000.0,1.0,1.0,1.0,2.0,8.0,1.8571428571428572,1.0,2.0,0,0,0,0,0,1,0,1,0,0,0,1
1.0,72.0,795000.0,1.0,1.0,1.5,3.0,7.0,1.7142857142857144,1.0,3.0,0,0,0,0,0,1,0,1,0,0,0,0
2.0,68.0,720000.0,1.0,1.0,2.0,7.0,7.0,1.5714285714285716,1.0,4.0,0,0,0,0,0,1,0,0,0,0,1,1
2.0,45.0,575000.0,1.0,1.0,1.0,5.5,6.5,1.4285714285714286,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,144.0,1895000.0,2.0,1.0,3.0,4.0,6.0,1.2857142857142858,1.0,5.0,0,0,1,0,0,1,0,1,0,0,1,1
1.0,55.0,649000.0,1.0,1.5,1.0,1.0,6.0,1.142857142857143,1.0,3.0,0,0,0,0,0,1,1,0,0,0,1,0
5.0,200.0,2350000.0,1.0,2.0,3.0,1.0,6.0,1.0,1.0,7.0,0,0,0,0,0,1,1,1,1,0,1,0
3.0,45.0,950000.0,1.25,1.5,2.0,7.0,3.5,1.0,1.0,2.0,0,0,0,0,0,1,0,0,0,1,0,0
1.0,44.0,485000.0,1.5,1.0,1.0,7.0,1.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,1,1
1.0,90.0,1350000.0,1.75,1.0,2.0,7.0,7.0,1.0,1.0,3.0,0,0,0,0,0,1,0,1,0,0,0,1
4.0,147.0,2100000.0,2.0,1.0,3.0,4.0,6.0,1.0,1.0,6.0,0,0,0,0,0,1,0,1,1,0,1,1
2.0,63.0,805000.0,1.5,1.0,1.0,1.0,7.0,1.0,1.0,3.0,0,0,0,0,0,1,1,1,0,0,0,1
1.0,36.0,422400.0,1.0,1.0,1.0,1.5,6.0,1.0,1.0,2.0,0,0,0,0,0,0,0,1,0,0,0,1
1.0,50.0,695000.0,1.0,1.0,1.0,2.0,7.0,1.0588235294117647,1.0,3.0,0,0,1,0,0,1,0,1,0,1,0,0
2.0,96.0,1295000.0,1.0,1.0,1.0,5.0,6.0,1.1176470588235294,1.0,4.0,0,0,0,1,0,1,0,1,0,1,0,1
