sl_nb_chambre,sl_taille,sl_prix,sl_salle_d_eau,sl_salle_de_bain,sl_toilette,sl_etage,sl_hauteur,sl_parking,sl_terrasse,sl_nb_piece,sl_localisation_enc,sl_cuisine_enc,sl_exposition_enc,sl_vue_enc,sl_ascenseur_enc,sl_neuf_enc,sl_cave_enc,sl_annee_enc,sl_balcon_enc,sl_parquet_enc,sl_style_enc,sl_gardien_enc
1.0,58.0,380000.0,1.0,1.0,1.0,2.0,8.0,1.0,1.0,2.0,0,0,0,0,1,0,1,0,0,0,0,0
2.0,71.0,450000.0,1.0,1.0,1.0,1.5,5.0,1.0,1.0,3.0,0,0,0,0,1,0,0,0,1,0,0,0
1.0,41.0,246000.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,37.0,222000.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,41.0,246000.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,103.0,677000.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,3.0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,23.0,237000.0,1.0,1.0,1.0,1.5,5.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,42.0,325000.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,0,1,0,0,1,0,0,0,0,0,0,0
1.0,55.0,330000.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,131.0,1150000.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,5.0,0,0,0,0,1,0,1,0,0,1,0,0
