,sl_prix,sl_style,sl_localisation,sl_cuisine,sl_exposition,sl_vue,sl_ascenseur,sl_neuf,sl_cave,sl_annee,sl_balcon,sl_parquet,sl_gardien,sl_nb_chambre,sl_taille,sl_salle_d_eau,sl_salle_de_bain,sl_toilette,sl_etage,sl_hauteur,sl_parking,sl_terrasse,sl_nb_piece
296,739000.0,0,0,0,0,0,1,0,1,0,0,0,0,1,54,2,1,1,1,7,1,1,2
297,796000.0,0,0,0,0,0,1,0,1,0,0,1,1,2,76,3,1,1,4,8,1,1,4
298,3710000.0,0,0,0,0,0,0,0,1,0,0,1,0,6,305,4,1,1,1,7,1,1,10
299,550000.0,0,0,0,0,0,0,0,1,1,0,0,1,1,44,1,1,1,2,6,1,1,2
300,547000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,1,1,1,1,7,1,1,2
301,850000.0,0,0,0,0,0,1,0,1,0,0,0,1,1,69,2,1,1,7,9,1,1,3
302,3490000.0,0,0,0,0,0,0,0,1,0,0,1,1,5,303,2,2,2,4,5,1,1,8
303,739000.0,0,0,0,0,0,1,0,1,0,0,0,0,1,54,3,1,1,1,7,1,1,2
304,3710000.0,0,0,0,0,0,0,0,1,0,0,1,0,6,305,4,1,1,1,7,1,1,10
305,523500.0,0,0,0,0,0,1,0,1,0,0,0,1,1,48,2,1,1,4,8,1,1,2
306,898000.0,0,0,1,0,0,1,0,1,0,1,1,1,2,66,1,1,1,7,7,1,1,3
307,1495000.0,0,0,1,0,0,1,0,1,1,0,1,1,3,113,1,1,1,2,6,1,1,5
308,499000.0,0,0,0,0,0,1,0,0,0,0,1,1,1,34,1,1,1,6,6,1,1,2
309,312000.0,0,0,0,0,0,1,0,0,1,0,0,0,1,23,1,1,1,3,3,1,1,2
310,930000.0,0,0,0,0,0,1,0,0,1,1,0,0,2,60,1,1,1,5,6,1,1,3
311,3490000.0,0,0,0,0,0,0,0,1,0,0,1,1,5,303,1,2,2,3,5,1,1,8
312,550000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,2,1,1,2,6,1,1,2
313,739000.0,0,0,0,0,0,1,0,1,0,0,0,0,1,54,2,1,1,1,7,1,1,2
314,796000.0,0,0,0,0,0,1,0,1,0,0,1,1,2,76,3,1,1,4,8,1,1,4
315,3710000.0,0,0,0,0,0,0,0,1,0,0,1,0,6,305,4,1,1,1,7,1,1,10
316,1185000.0,0,0,0,0,0,1,0,1,0,0,0,1,3,88,3,1,1,4,6,1,1,4
317,525000.0,0,0,1,0,0,0,0,1,0,1,0,1,1,39,2,1,1,4,4,1,1,2
318,550000.0,0,0,0,0,0,0,0,1,1,0,0,1,1,44,1,1,1,2,6,1,1,2
319,547000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,1,1,1,1,6,1,1,2
320,685000.0,0,0,0,0,0,0,0,1,0,0,1,0,2,54,1,1,1,1,6,1,1,3
321,1740000.0,0,0,0,0,0,1,0,1,0,0,1,1,3,154,1,2,3,2,7,1,1,5
322,832000.0,0,0,0,0,0,0,0,0,0,0,1,1,1,60,1,1,3,2,7,1,1,2
323,1890000.0,0,0,0,0,0,1,1,1,0,0,1,1,3,131,2,1,4,3,8,1,1,5
324,149000.0,0,0,0,0,0,0,0,0,1,0,0,1,2,11,1,1,3,6,7,1,1,1
325,92000.0,0,0,0,0,0,1,1,0,0,0,1,1,1,7,1,1,3,7,7,1,1,1
326,1045000.0,0,0,0,0,0,0,0,1,0,0,0,0,1,117,1,1,3,5,6,1,1,2
327,820000.0,0,0,0,0,0,1,0,1,1,0,0,1,1,62,1,1,3,4,6,1,1,3
328,3000000.0,0,0,0,0,0,1,0,0,1,0,0,1,2,173,1,1,3,6,6,1,1,6
329,2780000.0,0,0,0,0,0,0,0,1,1,0,0,0,4,215,1,1,2,1,6,1,1,7
330,480000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,1,1,2,3,4,1,1,2
331,735000.0,0,0,0,0,0,1,0,1,1,0,0,1,2,60,1,1,2,2,6,1,1,4
332,2850000.0,0,0,0,0,0,1,1,0,0,0,0,0,4,288,1,1,2,1,6,1,1,6
333,3400000.0,0,0,0,0,0,1,1,0,0,1,0,0,4,285,1,1,2,4,6,1,1,6
334,3544500.0,0,0,0,0,0,1,1,1,0,0,0,1,4,278,1,1,1,4,6,1,1,6
335,462000.0,0,0,0,0,0,0,0,1,0,1,0,1,1,44,1,1,1,5,6,1,1,2
336,788000.0,0,0,0,0,0,1,0,1,0,0,0,1,2,70,1,1,1,3,8,1,1,3
337,815000.0,0,0,0,0,0,1,0,1,0,0,0,1,2,60,1,1,1,2,7,1,1,3
338,398000.0,0,0,0,0,0,0,0,1,0,0,0,0,2,28,1,1,1,4,6,1,1,1
339,3450000.0,0,0,0,0,0,1,0,1,0,1,1,1,3,205,1,1,2,2,5,1,1,5
340,120000.0,0,0,0,0,0,1,0,0,0,0,0,0,3,11,1,1,1,1,7,1,1,1
341,2350000.0,0,0,0,0,0,1,0,1,0,1,0,1,4,180,1,1,1,1,9,1,1,5
342,722174.0,0,0,0,0,0,0,0,0,0,0,0,0,2,46,1,1,1,1,7,1,1,1
343,610000.0,0,0,0,0,0,1,0,1,1,0,1,1,1,60,1,1,1,3,5,1,1,2
344,595000.0,0,0,0,0,0,1,1,0,0,0,1,1,2,105,1,1,2,5,8,1,1,4
345,329000.0,0,0,0,0,0,1,0,1,1,0,0,0,2,27,1,1,1,6,6,1,1,1
346,485000.0,0,0,0,0,0,1,0,0,1,0,0,0,2,35,1,1,1,2,5,1,1,1
347,830000.0,0,0,0,0,0,0,0,0,0,0,0,1,2,59,1,1,1,1,5,1,1,3
348,830000.0,0,0,0,0,0,0,0,0,0,0,0,1,2,59,1,2,1,1,5,1,1,3
349,485000.0,0,0,0,0,0,1,0,0,1,0,0,0,2,35,1,2,1,2,5,1,1,1
350,123000.0,0,0,0,0,0,1,0,0,0,0,0,0,2,9,1,2,1,8,8,1,1,1
351,3100000.0,0,0,0,0,0,1,1,0,0,0,0,0,3,230,1,3,1,4,8,1,1,6
352,775000.0,0,0,0,0,0,1,0,1,0,0,1,0,2,78,1,2,1,5,9,1,1,3
353,80000.0,0,0,0,0,0,1,0,0,0,0,0,0,2,11,1,1,1,6,10,1,1,1
354,1550000.0,0,0,0,0,0,1,0,1,0,1,0,1,3,130,1,1,3,8,11,1,1,5
355,55000.0,0,0,0,0,0,0,0,0,1,0,0,1,2,6,1,1,2,7,9,1,1,1
356,1145000.0,0,0,0,0,0,1,0,1,0,1,1,1,2,90,1,1,2,6,8,1,1,3
357,4500000.0,0,0,0,0,0,1,0,1,0,0,1,1,4,300,1,3,3,6,7,1,1,6
358,110000.0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,1,2,2,6,6,1,1,1
359,450000.0,0,0,0,0,0,0,0,0,0,0,0,0,2,34,1,2,2,5,6,1,1,1
360,110000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,1,1,6,6,1,1,1
